"","SampleId","Purity_tumor_only","Ploidy_tumor_only","Purity_matching_normal","Ploidy_matching_normal"
"136","TCGA-61-2018-01A-01W",0.6,1.86193485830172,0.6,1.86134437658047
"137","TCGA-61-2087-01A-01W",0.9,1.85059321900055,0.9,1.85053882551347
"138","TCGA-61-2088-01A-01W",0.87,3.29072995129647,0.89,3.28542531294381
"139","TCGA-61-2092-01A-01W",0.26,2.05386894281481,0.26,2.05330683590817
"140","TCGA-61-2094-01A-01W",0.37,3.48355490013217,0.36,3.48310977214078
"141","TCGA-61-2096-01A-01W",0.87,1.81679216527818,0.87,1.81717163664763
"142","TCGA-61-2097-01A-02W",0.56,3.26259625277538,0.56,3.26246195107808
"144","TCGA-61-2101-01A-01W",0.79,3.1246632155013,0.8,3.11786765274527
"145","TCGA-61-2102-01A-01W",0.85,2.65596334604237,0.85,2.66643267738419
"146","TCGA-61-2104-01A-01W",0.73,2.95047151272159,0.73,2.94942973188908
"147","TCGA-61-2109-01A-01W",0.87,1.89921296264259,0.87,1.89919683079461
"148","TCGA-61-2110-01A-01W",0.53,2.58002981129694,0.56,4.30122328475838
"149","TCGA-61-2111-01A-01W",0.51,3.41012969052446,0.4,2.48520817637244
"150","TCGA-61-2113-01A-01W",0.48,2.42861767848277,0.48,2.44356916814799
"151","TCGA-61-1734-01B-01W",0.67,3.78763715359228,0.67,3.80202842709654
