"","SampleId","Purity_tumor_only","Ploidy_tumor_only","Purity_matching_normal","Ploidy_matching_normal"
"129","TCGA-24-1469-01A-01W",0.42,3.05576607718695,0.86,4.88197191846062
"130","TCGA-29-1707-01A-01W",0.77,3.74295855214306,0.78,3.75306068268569
"131","TCGA-09-0365-01A-02W",0.92,4.33190940634879,0.94,4.33029830199705
"132","TCGA-29-1781-01A-01W",0.67,1.74705893429478,0.67,1.74711077379544
"133","TCGA-13-0912-01A-01W",0.92,1.89555755778429,0.92,1.89564670941611
"134","TCGA-61-1730-01A-01W",0.8,3.56717307241464,0.8,3.56710158510579
"135","TCGA-61-1906-01A-01W",0.73,3.16780473878255,0.74,3.16149796599366
"136","TCGA-57-1586-01A-02W",0.76,2.58045909596072,0.75,2.57908181236883
"137","TCGA-29-1766-01A-01W",0.44,4.12929444536987,0.44,4.1391633529384
"138","TCGA-29-1699-01A-01W",0.6,5.49851805716572,0.6,5.49782817907746
"139","TCGA-61-1740-01A-01W",0.61,3.6327904388242,0.61,3.63085817704686
"140","TCGA-13-0760-01A-01W",0.78,2.77535649202294,0.78,2.78497950781303
"142","TCGA-20-1686-01A-01W",0.7,3.30364045597932,0.7,3.2965941391009
"143","TCGA-13-0791-01A-01W",0.79,4.33308455118459,0.79,4.33037760432394
"144","TCGA-04-1343-01A-01W",0.58,3.06630716490689,0.59,3.06752236490157
"145","TCGA-61-1901-01A-01W",0.74,1.8459784971674,0.74,1.846527512412
"146","TCGA-61-1725-01A-01W",0.78,1.92511262647955,0.79,1.92520725594851
"147","TCGA-23-1117-01A-02W",0.63,3.46619363128893,0.64,3.46336852381898
"148","TCGA-24-1842-01A-01W",0.66,3.52586889519941,0.66,3.52517576799282
"149","TCGA-61-1911-01A-01W",0.67,2.25151673858969,0.67,2.25107700324569
"150","TCGA-29-1783-01A-01W",0.58,3.2220699674773,0.58,3.22285852184063
"151","TCGA-13-0726-01A-01W",0.66,1.98139215110932,0.66,1.9775596319446
"152","TCGA-23-1123-01A-01W",0.77,2.97602228767204,0.78,2.98626097512568
"153","TCGA-29-1775-01A-01W",0.81,3.3314781098805,0.83,3.32849524967098
"154","TCGA-09-1672-01A-01W",0.65,3.24003247501157,0.64,3.24077122861124
"155","TCGA-04-1362-01A-01W",0.77,3.15285657664947,0.75,3.16071382100356
"156","TCGA-29-1694-01A-01W",0.74,1.75646446435915,0.73,1.76957536857645
"157","TCGA-23-1118-01A-01W",0.63,1.92001925104849,0.52,3.62825916677937
"158","TCGA-24-1616-01A-01W",0.82,3.42214992925143,0.83,3.42116264884662
"159","TCGA-13-0765-01A-01W",0.8,1.65752725834872,0.8,1.65732286934526
"160","TCGA-04-1349-01A-01W",0.72,3.34347035702122,0.72,3.34332566979778
"161","TCGA-29-1691-01A-01W",0.84,3.15380680750837,0.85,3.15347021533155
"162","TCGA-24-1846-01A-01W",0.89,1.74189700917127,0.91,1.74083572148235
"163","TCGA-13-0755-01A-01W",0.84,1.88345067864144,0.83,1.88411862537334
"164","TCGA-61-1903-01A-01W",0.86,1.90053331437266,0.87,1.90081408192673
"165","TCGA-24-1562-01A-01W",0.79,1.77471969799475,0.79,1.77491064187569
"166","TCGA-23-1124-01A-01W",0.73,3.31559081315171,0.74,3.31651270049171
"167","TCGA-29-1776-01A-01W",0.88,1.9043316065841,0.88,1.90440779062681
"168","TCGA-20-1682-01A-01W",0.76,1.82858647147607,0.76,1.82817421589642
"169","TCGA-29-1761-01A-01W",0.6,3.14805305747809,0.52,3.37212313502484
"170","TCGA-24-1104-01A-01W",0.64,1.96371385690804,0.64,1.96349547407487
"171","TCGA-13-0887-01A-01W",0.65,3.58429467867576,0.7,3.52139246293581
"172","TCGA-29-1784-01A-02W",0.55,3.50156985746041,0.58,3.3295019642351
"173","TCGA-13-0807-01B-02W",0.71,3.02929399704204,0.71,3.02982248722971
