"","x"
"286","TCGA-78-7167-01A-11D"
"287","TCGA-78-7220-01A-11D"
"288","TCGA-78-7535-01A-11D"
"289","TCGA-78-7536-01A-11D"
"290","TCGA-78-7537-01A-11D"
"291","TCGA-78-7539-01A-11D"
"292","TCGA-78-7540-01A-11D"
"293","TCGA-78-7542-01A-21D"
"294","TCGA-78-7633-01A-11D"
"295","TCGA-78-8640-01A-11D"
"296","TCGA-78-8655-01A-11D"
"297","TCGA-78-8660-01A-11D"
"298","TCGA-78-8662-01A-11D"
"299","TCGA-80-5607-01A-31D"
"300","TCGA-80-5608-01A-31D"
"301","TCGA-80-5611-01A-01D"
"302","TCGA-83-5908-01A-21D"
"303","TCGA-86-6562-01A-11D"
"304","TCGA-86-6851-01A-11D"
"305","TCGA-86-7701-01A-11D"
"306","TCGA-86-7714-01A-12D"
"307","TCGA-86-7953-01A-11D"
"308","TCGA-86-7954-01A-11D"
"309","TCGA-86-7955-01A-11D"
"310","TCGA-86-8054-01A-11D"
"311","TCGA-86-8055-01A-11D"
"312","TCGA-86-8056-01A-11D"
"313","TCGA-86-8073-01A-11D"
"314","TCGA-86-8074-01A-11D"
"315","TCGA-86-8075-01A-11D"
"316","TCGA-86-8076-01A-31D"
"317","TCGA-86-8278-01A-11D"
"318","TCGA-86-8279-01A-11D"
"319","TCGA-86-8280-01A-11D"
"320","TCGA-86-8281-01A-11D"
"321","TCGA-86-8358-01A-11D"
"322","TCGA-86-8359-01A-11D"
"323","TCGA-86-8585-01A-11D"
"324","TCGA-86-8668-01A-11D"
"325","TCGA-86-8669-01A-11D"
"326","TCGA-86-8671-01A-11D"
"327","TCGA-86-8672-01A-21D"
"328","TCGA-86-8673-01A-11D"
"329","TCGA-86-8674-01A-21D"
"330","TCGA-86-A456-01A-11D"
"331","TCGA-86-A4D0-01A-11D"
"332","TCGA-86-A4JF-01A-11D"
"333","TCGA-86-A4P7-01A-11D"
"334","TCGA-86-A4P8-01A-11D"
"335","TCGA-91-6829-01A-21D"
"336","TCGA-91-6830-01A-11D"
"337","TCGA-91-6831-01A-11D"
"338","TCGA-91-6835-01A-11D"
"339","TCGA-91-6836-01A-21D"
"340","TCGA-91-6840-01A-11D"
"341","TCGA-91-6847-01A-11D"
"342","TCGA-91-6848-01A-11D"
"343","TCGA-91-6849-01A-11D"
"344","TCGA-91-7771-01A-11D"
"345","TCGA-91-8496-01A-11D"
"346","TCGA-91-8497-01A-11D"
"347","TCGA-91-8499-01A-11D"
"348","TCGA-91-A4BC-01A-11D"
"349","TCGA-91-A4BD-01A-11D"
"350","TCGA-93-7347-01A-11D"
"351","TCGA-93-A4JN-01A-11D"
"352","TCGA-93-A4JO-01A-21D"
"353","TCGA-93-A4JQ-01A-11D"
"354","TCGA-95-7039-01A-11D"
"355","TCGA-95-7043-01A-11D"
"356","TCGA-95-7562-01A-11D"
"357","TCGA-95-7567-01A-11D"
